Date,Open,High,Low,Close,Adj Close,Volume
2019-03-05,6.244999885559082,6.5,6.244999885559082,6.440000057220459,5.70836067199707,7105690
2019-03-06,6.599999904632568,6.800000190734863,6.599999904632568,6.704999923706055,5.943253517150879,11895610
2019-03-07,6.710000038146973,6.75,6.525000095367432,6.639999866485596,5.8856377601623535,5543970
2019-03-08,6.599999904632568,6.644999980926514,6.5,6.599999904632568,5.85018253326416,3069980
2019-03-11,6.650000095367432,6.724999904632568,6.610000133514404,6.690000057220459,5.929957389831543,3819260
2019-03-12,6.730000019073486,7.175000190734863,6.730000019073486,7.074999809265137,6.271218776702881,37655270
2019-03-13,7.079999923706055,7.144999980926514,6.90500020980835,6.945000171661377,6.1559882164001465,7118080
2019-03-14,7.125,7.289999961853027,6.989999771118164,7.059999942779541,6.257922649383545,13534250
2019-03-15,7.099999904632568,7.184999942779541,6.710000038146973,6.784999847412109,6.014164924621582,8218450
2019-03-18,7.0,7.0,6.630000114440918,6.84499979019165,6.067348957061768,15771840
2019-03-19,6.885000228881836,6.96999979019165,6.789999961853027,6.84499979019165,6.067348957061768,4809380
2019-03-20,6.855000019073486,6.855000019073486,6.71999979019165,6.75,5.9831414222717285,2601580
2019-03-22,6.795000076293945,6.800000190734863,6.650000095367432,6.684999942779541,5.925526142120361,2616430
2019-03-25,6.675000190734863,6.675000190734863,6.510000228881836,6.545000076293945,5.801431179046631,3975710
2019-03-26,6.590000152587891,6.869999885559082,6.565000057220459,6.699999809265137,5.938822269439697,7490950
2019-03-27,6.744999885559082,6.900000095367432,6.690000057220459,6.835000038146973,6.0584845542907715,6037900
2019-03-28,6.804999828338623,7.019999980926514,6.775000095367432,6.840000152587891,6.0629167556762695,7545540
2019-04-01,7.210000038146973,7.289999961853027,7.099999904632568,7.139999866485596,6.328834056854248,8820290
2019-04-02,7.150000095367432,7.150000095367432,6.880000114440918,6.945000171661377,6.1559882164001465,7612660
2019-04-03,6.985000133514404,7.034999847412109,6.809999942779541,6.835000038146973,6.0584845542907715,3751850
2019-04-04,6.869999885559082,6.869999885559082,6.690000057220459,6.744999885559082,5.9787092208862305,5800550
2019-04-05,6.795000076293945,6.920000076293945,6.760000228881836,6.815000057220459,6.040757179260254,4265240
